IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,f1c82a2a-e4b1-371e-a511-ed7143ffc0c0,"Nitrogen dioxide, CZ",010102-44-0,high population density,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,2cbf2ec8-ebda-3a67-b5c3-67e693776500,"Sulfur oxides, LV",,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,0c466a89-4b30-32ff-84c2-1c4c303cce0c,"Sulfur oxides, BA",,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,88114041-7299-3af5-b17e-f79649c03cad,"Nitrogen oxides, CH",011104-93-1,high population density,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,7e3b4c48-051e-3c61-bf08-9645b0566082,"Sulfur dioxide, EE",007446-09-5,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,ba315fcf-99fc-3876-a5be-ad61f322e9d5,"Sulfur dioxide, BY",007446-09-5,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,56c9384f-d821-33d4-8214-26bcbea7a114,"Nitrogen dioxide, RU",010102-44-0,high population density,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,03068434-9899-3802-9491-699a70f35a84,"Nitrogen dioxide, UA",010102-44-0,high population density,Emission to air,kg,1
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,7939bad6-19eb-348b-800d-749c3f56b666,"Sulfur oxides, DK",,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,d1d982d7-ef2c-34e6-a44d-760681d0a9e1,"Sulfur oxides, SI",,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,4e62e3c2-6b42-3e5c-9bc1-6f20e3a5e229,"Sulfur dioxide, HR",007446-09-5,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,83f34580-c874-3b6a-963e-5f7bc72a84ef,"Sulfur dioxide, CS",007446-09-5,high population density,Emission to air,kg,0.0811
EN 15804 +A2 Method,e4c0092c-5ab4-3dc7-a219-527907e8a1ea,Photochemical ozone formation,kg NMVOC eq,cf9f6cf8-9a1a-3a22-b742-c9f1e15d7b61,"Sulfur dioxide, CH",007446-09-5,high population density,Emission to air,kg,0.0811
